title,rouge1,rouge2,rougeL
"An act to add and repeal Section 38755 of the Vehicle Code, relating to autonomous vehicles.",0.3448275862068965,0.24752475247524755,0.2955665024630542
"An act to repeal and add Section 7597.1 of the Government Code, relating to public postsecondary education.",0.25365853658536586,0.10440456769983687,0.15934959349593494
"An act to amend Sections 14169.53 and 14169.75 of the Welfare and Institutions Code, relating to Medi-Cal, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately, bill related to the budget.",0.3903420523138833,0.09696969696969697,0.16901408450704225
"An act to amend the Budget Act of 2016 (Chapter 23 of the Statutes of 2016) by amending Item 3340-001-0318 of, and adding Items 0521-101-3228, 0540-101-3228, 0650-002-3228, 0650-101-3228, 0650-490, 2240-491, 2660-108-3228, 3540-001-3228, 3900-101-3228, 3970-101-3228, 4700-101-3228, 8570-101-3228 to, Section 2.00 of, and amending Section 39.00 of, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0.2916666666666667,0.09473684210526316,0.19791666666666666
"An act to amend the Budget Act of 2016 by amending Items 2240-101-6082, 2240-105-0001, and 4260-001-3085 of Section 2.00 of, and Section 39.00 of, that act, relating to the state budget, and making an appropriation therefor, to take effect immediately, budget bill.",0.24096385542168672,0.024390243902439025,0.14457831325301204
"An act to amend Sections
905.2 and 8590.6 of
905.2, 8590.6, and 15820.946 of, and to add Section 15820.947 to,
the Government Code, relating to state government, and making an appropriation therefor, to take effect immediately, bill related to the budget.",0.25594149908592323,0.029357798165137613,0.1316270566727605
"An act to add Section 15463 to the Government Code, and to amend Sections 5849.1, 5849.2, 5849.3, 5849.4, 5849.5, 5849.7, 5849.8, 5849.9, 5849.11, 5849.14, 5890, and 5891 of, to add Section 5849.35 to, and to repeal and add Section 5849.13 of, the Welfare and Institutions Code, relating to mental health services, and making an appropriation therefor, to take effect immediately, bill related to the budget.",0.11651816312542836,0.05628002745367193,0.08773132282385196
"An act to add Article 13.5 (commencing with Section 33479) to Chapter 3 of Part 20 of Division 2 of Title 2 of the Education Code, relating to pupil safety.",0.3948717948717949,0.1597938144329897,0.2717948717948718
"An act to amend Section 7522.02 of the Government Code, relating to retirement.",0.3382352941176471,0.07407407407407407,0.14705882352941177
"An act to amend Section 47607 of the Education Code, relating to charter schools.",0.3680555555555556,0.07692307692307691,0.19444444444444442
"An act to amend Section 14005.12 of the Welfare and Institutions Code, relating to Medi-Cal.",0.3260188087774294,0.05047318611987381,0.15047021943573666
"An act to amend Section 22358.4 of the Vehicle Code, relating to vehicles.",0.2775,0.22807017543859653,0.24750000000000003
"An act to add Part 6.5 (commencing with Section 24455) to Division 9 of the Public Utilities Code, relating to aviation.",0.22095238095238096,0.11854684512428298,0.16761904761904764
"An act to amend Sections 30515 and 30900 of, and to add Section 30680 to, the Penal Code, relating to firearms.",0.17760617760617758,0.08774193548387096,0.13642213642213644
"An act to add Article 4.5 (commencing with Section 111548) to Chapter 6 of Part 5 of Division 104 of the Health and Safety Code, relating to drugs and devices.",0.24919093851132684,0.10064935064935066,0.1423948220064725
"An act to amend Sections 1070, 1071, and 1072 of, to amend the heading of Chapter 4.6 (commencing with Section 1070) of Part 3 of Division 2 of, and to add Sections 1075 and 1076 to, the Labor Code, relating to employment.",0.32514177693761814,0.15180265654648958,0.1776937618147448
"An act to amend Sections 632, 633.5, and 637.2 of, and to add Section 632.01 to, the Penal Code, relating to confidential communications.",0.25273010920436817,0.15336463223787167,0.1840873634945398
"An act to amend Section 16520 of the Penal Code, relating to firearms.",0.29245283018867924,0.06635071090047394,0.16037735849056603
"An act to amend Sections 26835, 27535, 27540, and 27590 of the Penal Code, relating to firearms.",0.25933202357563856,0.03944773175542406,0.14538310412573674
"An act to amend Section 1197.5 of the Labor Code, relating to employers.",0.306695464362851,0.06507592190889372,0.1555075593952484
"An act to amend Section 6228 of the Family Code, relating to domestic violence.",0.3490566037735849,0.1374407582938389,0.2452830188679245
"An act to amend
Section
Sections 26004 and
26011.8 of the Public Resources Code, relating to alternative
energy, to take effect immediately, tax levy.
energy.",0.27906976744186046,0.025974025974025972,0.14470284237726097
"An act to amend Section 12930 of the Government Code, relating to civil actions.",0.23076923076923075,0.01935483870967742,0.15384615384615383
"An act to amend Sections 43016, 43151, 43154, 43211, and 43212 of, and to add Section 43214 to, the Health and Safety Code, relating to vehicular air pollution.",0.2756005056890013,0.13941698352344742,0.179519595448799
"An act to amend Section 361.2 of the Welfare and Institutions Code, relating to juveniles.",0.32740213523131667,0.08602150537634409,0.18505338078291814
"An act to amend Section 51225.3 of, and to add Section 51221.1 to, the Education Code, relating to school curriculum.",0.2611570247933884,0.07628524046434494,0.14876033057851243
"An act to add Section 87482.3 to the Education Code, relating to community colleges.",0.29166666666666663,0.23353293413173656,0.24404761904761904
"An act to amend Sections 148.5 and 29805 of the Penal Code, relating to firearms.",0.35514018691588783,0.12539184952978058,0.20560747663551404
"An act to amend Section 44272 of the Health and Safety Code, relating to vehicular air pollution.",0.32934131736526945,0.12048192771084337,0.19760479041916168
